Mentions,Sentiment,clean_text,prediksi_sentimen
Polsek Sungai Sampit melaksanakan pengamanan dan monitoring kegiatan penyaluran BLT DD di Desa Bagendang Tengah. Ã¢Â€Â“Ã‚Â TEWENEWS https://t.co/8qmVXrXL2T,Positive,polsek sungai sampit melaksanakan pengamanan dan monitoring kegiatan penyaluran blt dd di desa bagendang tengah ã¢â€â“ã‚â tewenews,Positive
Dah ku kepak keja bruk blt,Positive,dah ku kepak keja bruk blt,Positive
@Dennysiregar7 Kan sdh pada dapet BLT Bang Ã°ÂŸÂ˜Â,Positive,kan sdh pada dapet blt bang ã°âÿâ˜â,Positive
"Emak2 mulutnya kayak gini pasti miskin akhlak dan materi. Gakpernah punya uang kecuali dapet BLT.  Dia gak punya waktu untuk bekerja karna terlalu sibuk ngegosip. Hari2nya seperti itu sambil mengurus anak besar dan kerja, lalu menuntut anak untuk timbal b",Positive,emak mulutnya kayak gini pasti miskin akhlak dan materi gakpernah punya uang kecuali dapet blt dia gak punya waktu untuk bekerja karna terlalu sibuk ngegosip harinya seperti itu sambil mengurus anak besar dan kerja lalu menuntut anak untuk timbal b,Positive
Bhabinkamtibmas Polsek Banjar hadiri penyaluran BLT-DD Hari Kedua https://t.co/tyanK9rZP9,Positive,bhabinkamtibmas polsek banjar hadiri penyaluran bltdd hari kedua,Positive
"Melalui kepedulian pada rakyat, Presiden Jokowi memberikan Bantuan Langsung Tunai (BLT) Minyak Goreng kepada para peserta Program Keluarga Harapan (PKH) serta sembako dan bantuan modal kerja sebesar Rp 1,2 juta.

#presidenjokowi #indonesiamaju #viral #fyp",Positive,melalui kepedulian pada rakyat presiden jokowi memberikan bantuan langsung tunai blt minyak goreng kepada para peserta program keluarga harapan pkh serta sembako dan bantuan modal kerja sebesar rp juta,Positive
"@kebohejoreborn Iya enggak pernah kok kak, kata mamahku juga selagi masih berkecukupan ngapain minta BLT. Cuman heran ya sasaran blt ini kebanyakan gak tepat sasaran",Negative,iya enggak pernah kok kak kata mamahku juga selagi masih berkecukupan ngapain minta blt cuman heran ya sasaran blt ini kebanyakan gak tepat sasaran,Positive
@itzmyriego Lha lagi BLT aja banyak yang ngaku padahal kan pake survei Ã°ÂŸÂ˜Â‚,Negative,lha lagi blt aja banyak yang ngaku padahal kan pake survei ã°âÿâ˜â‚,Positive
"@wxfayy @kebohejoreborn @AREAJULID Blt ada toh? Kirain sy gak ada, soalnya gak pernah dpt hihihi",Negative,blt ada toh kirain sy gak ada soalnya gak pernah dpt hihihi,Positive
"Geliatkan ekonomi presiden keliling bagikan modal usaha dan BLT

#Jokowi
#Infrastruktur https://t.co/GAeZl7nWYC",Positive,geliatkan ekonomi presiden keliling bagikan modal usaha dan blt,Positive
